gameID,teamID,oppTeamID,homeScore,awayScore
0022000844,1610612762,1610612754,119,111
0022000851,1610612745,1610612743,99,128
0022000852,1610612750,1610612748,119,111
0022000850,1610612741,1610612763,115,126
0022000845,1610612765,1610612760,110,104
0022000849,1610612761,1610612753,113,102
0022000853,1610612759,1610612757,106,107
0022000848,1610612751,1610612766,130,115
0022000847,1610612764,1610612740,117,115
0022000854,1610612742,1610612752,109,117
0022000843,1610612756,1610612758,122,114
0022000842,1610612747,1610612738,113,121
0022000841,1610612739,1610612744,101,119
0022000840,1610612737,1610612749,109,120
0022000833,1610612741,1610612753,106,115
0022000834,1610612750,1610612749,105,130
0022000832,1610612765,1610612746,98,100
0022000831,1610612761,1610612759,117,112
0022000829,1610612766,1610612739,90,103
0022000830,1610612755,1610612751,123,117
0022000839,1610612758,1610612764,111,123
0022000835,1610612740,1610612752,106,116
0022000838,1610612743,1610612748,123,106
0022000836,1610612760,1610612744,109,147
0022000837,1610612763,1610612742,113,114
0022000461,1610612745,1610612754,124,132
0022000823,1610612754,1610612746,115,126
0022000826,1610612762,1610612760,106,96
0022000828,1610612757,1610612738,115,116
0022000825,1610612766,1610612747,93,101
0022000824,1610612761,1610612737,103,108
0022000817,1610612750,1610612751,97,127
0022000827,1610612756,1610612748,106,86
0022000820,1610612762,1610612764,121,125
0022000818,1610612742,1610612755,95,113
0022000815,1610612752,1610612747,111,96
0022000821,1610612744,1610612743,116,107
0022000278,1610612763,1610612741,101,90
0022000819,1610612740,1610612758,117,110
0022000822,1610612756,1610612745,126,120
0022000816,1610612753,1610612759,97,120
0022000814,1610612757,1610612748,98,107
0022000812,1610612750,1610612741,121,117
0022000811,1610612763,1610612754,125,132
0022000809,1610612752,1610612761,102,96
0022000813,1610612746,1610612765,131,124
0022000808,1610612753,1610612749,87,124
0022000805,1610612766,1610612737,101,105
0022000806,1610612743,1610612738,87,105
0022000807,1610612739,1610612740,109,116
0022000810,1610612742,1610612759,117,119
0022000801,1610612762,1610612758,128,112
0022000794,1610612739,1610612761,115,135
0022000800,1610612751,1610612747,101,126
0022000804,1610612757,1610612765,118,103
0022000803,1610612756,1610612764,134,106
0022000802,1610612744,1610612745,125,109
0022000199,1610612760,1610612755,93,117
0022000798,1610612744,1610612764,107,110
0022000791,1610612737,1610612741,120,108
0022000797,1610612743,1610612759,121,119
0022000790,1610612753,1610612754,106,111
0022000795,1610612740,1610612755,101,94
0022000792,1610612738,1610612750,145,136
0022000793,1610612752,1610612763,133,129
0022000796,1610612749,1610612766,119,127
0022000799,1610612746,1610612745,126,109
0022000787,1610612762,1610612757,122,103
0022000785,1610612760,1610612739,102,129
0022000523,1610612761,1610612741,113,122
0022000786,1610612742,1610612749,116,101
0022000789,1610612758,1610612765,101,113
0022000788,1610612746,1610612756,113,103
0022000784,1610612748,1610612747,110,104
0022000456,1610612745,1610612742,102,93
0022000782,1610612743,1610612759,106,96
0022000776,1610612754,1610612750,141,137
0022000777,1610612753,1610612764,116,131
0022000780,1610612737,1610612763,113,131
0022000783,1610612756,1610612762,117,113
0022000781,1610612760,1610612766,102,113
0022000779,1610612751,1610612740,139,111
0022000778,1610612738,1610612752,101,99
0022000770,1610612737,1610612740,123,107
0022000769,1610612754,1610612741,97,113
0022000775,1610612746,1610612757,133,116
0022000321,1610612743,1610612765,134,119
0022000771,1610612738,1610612755,96,106
0022000773,1610612748,1610612763,112,124
0022000772,1610612761,1610612747,101,110
0022000774,1610612744,1610612749,122,121
0022000763,1610612761,1610612764,103,101
0022000764,1610612742,1610612762,111,103
0022000767,1610612759,1610612739,101,125
0022000766,1610612760,1610612765,108,132
0022000765,1610612750,1610612758,116,106
0022000762,1610612751,1610612752,114,112
0022000768,1610612745,1610612756,130,133
0022000757,1610612738,1610612766,116,86
0022000756,1610612746,1610612747,104,86
0022000761,1610612743,1610612753,119,109
0022000758,1610612755,1610612763,100,116
0022000755,1610612741,1610612751,115,107
0022000760,1610612745,1610612740,115,122
0022000759,1610612737,1610612744,117,111
0022000748,1610612765,1610612752,81,125
0022000751,1610612759,1610612754,133,139
0022000752,1610612762,1610612753,137,91
0022000749,1610612748,1610612739,115,101
0022000747,1610612764,1610612742,87,109
0022000754,1610612758,1610612749,128,129
0022000753,1610612757,1610612760,133,85
0022000750,1610612755,1610612750,122,113
0022000744,1610612756,1610612760,140,103
0022000745,1610612757,1610612749,109,127
0022000743,1610612762,1610612741,113,106
0022000741,1610612763,1610612750,120,108
0022000746,1610612758,1610612747,94,115
0022000737,1610612761,1610612744,130,77
0022000742,1610612740,1610612737,103,126
0022000740,1610612754,1610612766,97,114
0022000739,1610612752,1610612742,86,99
0022000738,1610612738,1610612745,118,102
0022000179,1610612765,1610612764,120,91
0022000735,1610612759,1610612737,129,134
0022000732,1610612751,1610612766,111,89
0022000736,1610612746,1610612743,94,101
0022000731,1610612739,1610612755,94,114
0022000734,1610612740,1610612753,110,115
0022000733,1610612748,1610612744,116,109
0022000727,1610612760,1610612761,113,103
0022000730,1610612756,1610612741,121,116
0022000722,1610612754,1610612748,87,92
0022000723,1610612738,1610612742,108,113
0022000728,1610612759,1610612758,120,106
0022000726,1610612750,1610612752,102,101
0022000725,1610612763,1610612762,107,111
0022000724,1610612751,1610612745,120,108
0022000729,1610612747,1610612749,97,112
0022000721,1610612765,1610612757,101,124
0022000719,1610612743,1610612755,104,95
0022000171,1610612756,1610612737,117,110
0022000718,1610612764,1610612766,104,114
0022000720,1610612746,1610612753,96,103
0022000716,1610612744,1610612741,116,102
0022000713,1610612760,1610612742,106,127
0022000708,1610612738,1610612740,109,115
0022000714,1610612759,1610612758,115,132
0022000710,1610612752,1610612748,88,98
0022000709,1610612751,1610612750,112,107
0022000712,1610612745,1610612763,110,120
0022000707,1610612764,1610612754,132,124
0022000717,1610612746,1610612749,129,105
0022000715,1610612762,1610612739,114,75
0022000711,1610612765,1610612761,118,104
0022000705,1610612743,1610612737,126,102
0022000704,1610612761,1610612757,117,122
0022000706,1610612747,1610612753,96,93
0022000703,1610612766,1610612756,97,101
0022000700,1610612762,1610612763,126,110
0022000698,1610612740,1610612742,112,103
0022000701,1610612746,1610612755,122,112
0022000695,1610612749,1610612752,96,102
0022000702,1610612758,1610612739,100,98
0022000697,1610612759,1610612741,120,104
0022000694,1610612764,1610612765,106,92
0022000696,1610612750,1610612745,107,129
0022000699,1610612760,1610612738,94,111
0022000688,1610612750,1610612745,107,101
0022000683,1610612765,1610612751,111,113
0022000689,1610612740,1610612743,108,113
0022000693,1610612747,1610612739,100,86
0022000690,1610612742,1610612754,94,109
0022000684,1610612761,1610612756,100,104
0022000686,1610612766,1610612748,110,105
0022000685,1610612749,1610612738,114,122
0022000692,1610612744,1610612737,108,124
0022000691,1610612762,1610612763,117,114
0022000687,1610612753,1610612757,105,112
0022000679,1610612752,1610612764,106,102
0022000678,1610612748,1610612757,122,125
0022000682,1610612758,1610612744,141,119
0022000680,1610612759,1610612746,85,98
0022000681,1610612747,1610612755,101,109
0022000670,1610612753,1610612756,112,111
0022000669,1610612749,1610612738,121,119
0022000674,1610612760,1610612763,107,116
0022000667,1610612754,1610612765,116,111
0022000673,1610612750,1610612742,108,128
0022000668,1610612761,1610612743,135,111
0022000672,1610612745,1610612766,97,122
0022000675,1610612759,1610612746,101,134
0022000677,1610612758,1610612737,110,108
0022000676,1610612762,1610612751,118,88
0022000671,1610612741,1610612739,94,103
0022000665,1610612744,1610612755,98,108
0022000661,1610612753,1610612743,99,110
0022000666,1610612757,1610612751,112,116
0022000664,1610612748,1610612756,100,110
0022000663,1610612740,1610612747,128,111
0022000662,1610612752,1610612764,131,113
0022000656,1610612741,1610612762,95,120
0022000653,1610612739,1610612758,105,119
0022000654,1610612750,1610612760,103,112
0022000657,1610612745,1610612761,117,99
0022000660,1610612746,1610612737,119,110
0022000658,1610612763,1610612738,132,126
0022000659,1610612749,1610612754,140,113
0022000655,1610612759,1610612766,97,100
0022000647,1610612751,1610612764,113,106
0022000651,1610612756,1610612747,111,94
0022000645,1610612748,1610612754,106,109
0022000016,1610612745,1610612760,112,114
0022000167,1610612738,1610612753,112,96
0022000650,1610612752,1610612755,100,101
0022000649,1610612765,1610612741,86,100
0022000652,1610612757,1610612742,92,132
0022000646,1610612743,1610612740,108,113
0022000648,1610612739,1610612761,116,105
0022000642,1610612763,1610612744,111,103
0022000643,1610612749,1610612759,120,113
0022000644,1610612746,1610612766,125,98
0022000640,1610612747,1610612737,94,99
0022000641,1610612755,1610612758,129,105
0022000638,1610612756,1610612750,113,101
0022000631,1610612738,1610612758,96,107
0022000639,1610612757,1610612742,125,119
0022000636,1610612763,1610612744,103,116
0022000634,1610612761,1610612762,112,115
0022000635,1610612745,1610612765,100,113
0022000435,1610612739,1610612759,110,116
0022000632,1610612748,1610612754,110,137
0022000637,1610612743,1610612741,131,127
0022000633,1610612753,1610612751,121,113
0022000630,1610612747,1610612766,116,105
0022000628,1610612756,1610612750,119,123
0022000166,1610612764,1610612762,131,122
0022000629,1610612757,1610612740,101,93
0022000626,1610612737,1610612760,116,93
0022000627,1610612752,1610612753,94,93
0022000618,1610612755,1610612749,105,109
0022000617,1610612754,1610612751,115,124
0022000620,1610612739,1610612738,117,110
0022000622,1610612745,1610612744,94,108
0022000619,1610612764,1610612758,119,121
0022000623,1610612763,1610612748,89,85
0022000625,1610612742,1610612746,105,89
0022000616,1610612765,1610612761,116,112
0022000621,1610612741,1610612759,99,106
0022000624,1610612743,1610612766,129,104
0022000610,1610612748,1610612739,113,98
0022000611,1610612755,1610612752,99,96
0022000614,1610612757,1610612740,125,124
0022000615,1610612747,1610612750,137,121
0022000612,1610612741,1610612760,123,102
0022000613,1610612745,1610612737,107,119
0022000609,1610612738,1610612762,109,117
0022000606,1610612743,1610612754,121,106
0022000602,1610612766,1610612758,122,116
0022000605,1610612742,1610612746,99,109
0022000607,1610612756,1610612763,122,99
0022000603,1610612764,1610612749,122,133
0022000608,1610612744,1610612747,97,128
0022000604,1610612751,1610612752,117,112
0022000428,1610612765,1610612759,99,109
0022000594,1610612744,1610612762,131,119
0022000596,1610612753,1610612748,97,102
0022000600,1610612741,1610612761,118,95
0022000597,1610612737,1610612739,100,82
0022000593,1610612760,1610612763,128,122
0022000601,1610612740,1610612746,135,115
0022000598,1610612745,1610612738,107,134
0022000595,1610612755,1610612759,134,99
0022000599,1610612750,1610612757,114,112
0022000586,1610612760,1610612752,97,119
0022000590,1610612737,1610612758,121,106
0022000592,1610612743,1610612742,103,116
0022000587,1610612751,1610612765,100,95
0022000589,1610612764,1610612749,119,125
0022000588,1610612766,1610612761,114,104
0022000591,1610612750,1610612757,121,125
0022000194,1610612756,1610612754,111,122
0022000585,1610612747,1610612754,105,100
0022000579,1610612764,1610612755,101,127
0022000583,1610612759,1610612753,104,77
0022000584,1610612762,1610612745,114,99
0022000582,1610612741,1610612748,90,101
0022000580,1610612763,1610612743,102,103
0022000581,1610612740,1610612739,116,82
0022000573,1610612749,1610612752,134,101
0022000575,1610612760,1610612742,116,108
0022000572,1610612741,1610612755,105,127
0022000578,1610612758,1610612745,125,105
0022000571,1610612748,1610612753,111,103
0022000568,1610612766,1610612765,105,102
0022000574,1610612740,1610612750,105,135
2042000301,1612709909,1612709925,78,97
0022000570,1610612761,1610612737,120,121
0022000577,1610612757,1610612756,121,127
0022000569,1610612751,1610612738,121,109
0022000576,1610612746,1610612744,130,104
0022000567,1610612742,1610612759,115,104
0022000566,1610612763,1610612764,127,112
2042000211,1612709902,1612709925,96,108
2042000201,1612709920,1612709909,100,127
2042000131,1612709909,1612709890,124,103
2042000121,1612709913,1612709925,110,139
2042000111,1612709902,1612709908,110,81
2042000101,1612709920,1612709930,127,102
0032000001,1610616833,1610616834,150,170
2022000132,1612709926,1612709909,106,95
2022000135,1612709922,1612709924,109,105
2022000134,1612709930,1612709890,127,92
2022000133,1612709902,1612709889,113,103
2022000130,1612709920,1612709925,122,100
2022000131,1612709893,1612709921,107,116
2022000126,1612709925,1612709911,114,94
2022000127,1612709919,1612709913,130,124
2022000128,1612709909,1612709903,93,83
2022000129,1612709908,1612709902,110,94
2022000125,1612709922,1612709910,107,111
2022000124,1612709919,1612709924,120,122
0022000555,1610612763,1610612749,111,112
0022000553,1610612754,1610612743,103,113
0022000558,1610612757,1610612758,123,119
0022000185,1610612756,1610612744,120,98
0022000556,1610612759,1610612760,102,107
2022000121,1612709930,1612709908,107,130
0022000565,1610612752,1610612765,114,104
2022000122,1612709911,1612709920,124,132
2022000119,1612709910,1612709893,94,99
2022000123,1612709889,1612709913,113,116
0022000552,1610612738,1610612761,132,125
2022000120,1612709926,1612709921,100,111
0022000557,1610612740,1610612748,93,103
0022000554,1610612764,1610612746,119,117
0022000539,1610612761,1610612765,105,129
0022000547,1610612750,1610612766,102,135
0022000543,1610612739,1610612754,111,114
0022000546,1610612745,1610612751,114,132
0022000544,1610612753,1610612737,112,115
0022000550,1610612757,1610612744,108,106
0022000545,1610612755,1610612762,131,123
0022000549,1610612742,1610612760,87,78
0022000551,1610612758,1610612747,123,120
2022000117,1612709925,1612709903,104,84
2022000118,1612709889,1612709920,93,115
0022000548,1610612740,1610612741,124,128
2022000115,1612709930,1612709924,111,116
2022000116,1612709890,1612709922,119,98
2022000114,1612709893,1612709909,97,103
0022000542,1610612747,1610612756,104,114
2022000112,1612709903,1612709910,109,93
0022000541,1610612759,1610612752,119,93
2022000110,1612709890,1612709921,102,88
0022000538,1610612748,1610612737,80,94
2022000111,1612709908,1612709911,119,111
2022000113,1612709919,1612709926,112,118
0022000537,1610612738,1610612746,117,112
0022000540,1610612749,1610612743,97,128
2022000109,1612709913,1612709902,91,121
0022000536,1610612764,1610612763,111,125
2022000106,1612709893,1612709920,124,125
0022000531,1610612741,1610612743,112,118
2022000105,1612709909,1612709930,120,92
0022000533,1610612740,1610612762,129,124
2022000107,1612709924,1612709926,103,119
0022000529,1610612753,1610612742,124,130
2022000104,1612709921,1612709889,121,115
0022000530,1610612755,1610612754,130,114
0022000532,1610612745,1610612739,90,101
0022000534,1610612759,1610612751,113,124
2022000108,1612709922,1612709925,95,110
0022000535,1610612757,1610612766,123,111
2022000100,1612709925,1612709910,101,98
0022000521,1610612765,1610612752,90,109
0022000528,1610612758,1610612766,126,127
0022000520,1610612749,1610612746,105,100
2022000102,1612709913,1612709922,126,91
0022000522,1610612748,1610612737,109,99
2022000103,1612709919,1612709911,105,111
2022000099,1612709902,1612709890,109,104
0022000525,1610612745,1610612763,84,133
0022000526,1610612750,1610612756,99,118
0022000527,1610612747,1610612744,117,91
0022000524,1610612738,1610612764,111,110
2022000101,1612709903,1612709908,88,97
0022000515,1610612752,1610612754,110,107
2022000095,1612709920,1612709919,127,115
2022000098,1612709911,1612709926,123,114
2022000096,1612709902,1612709921,108,88
0022000513,1610612755,1610612739,109,112
0022000514,1610612759,1610612740,117,114
0022000517,1610612764,1610612750,128,112
2022000094,1612709909,1612709889,114,129
2022000097,1612709893,1612709930,112,113
